Actor,Rating_Actor
Prakash Raj,5.116666666666666
Tanishaa Mukerji,4.216666666666667
Arun Govil,7.1
Anita Ayoob,4.3
Wamiqa Gabbi,6.3
Amitoj Mann,6.2
Mahmood Farooqui,7.4
Diganth,3.8
Gulzar,7.0
Jayalalitha J,7.1
Farhad Samji,4.75
Swetanshu Bora,5.9
Pran,6.691666666666666
Pushkar Bhaskar Pant,6.2
Aryeman Ramsay,4.45
Sanjay Mitra,7.7
Mir Sarwar,3.5
Madalsa Sharma,6.2
Bindu Shukla,2.7
Prashant Chaubey,9.3
Ram Charan,3.2
Adam Saini,5.3
Rituparna Sengupta,5.4
Aadil Khan,3.8
Kumari Naaz,8.0
Garima Agarwal,5.7
Tamannaah Bhatia,3.233333333333333
Mukesh Khanna,4.4
Shubhradeep Chakravorty,6.7
Trisha Krishnan,6.2125
Amar Upadhyay,3.5999999999999996
Parveen Babi,6.573076923076924
Ting Leung,4.8
Aindrita Ray,4.1
Ali Zafar,5.0625
Zeenat Ibrahim,6.2
Natalia Kapchuk,3.7
Baby Rani,6.7
Rajni Katiyar,7.6
Aleksey Fedorchenko,5.5
Nikhil Chinappa,4.7
Fardeen Khan,4.615555555555556
Shail Chaturvedi,5.5
Hrishikesh Mukherjee,5.8
Dina Pathak,6.199999999999999
Onjolee Nair,4.3
Raj Ballav Koirala,6.8
Swini Khara,3.3
Manjari Fadnnis,6.35
Nilesh Maniyar,7.2
Khushboo Purohit,5.3
Frank M. Ahearn,4.8
Pooja Bisht,4.8
Usha Bachani,4.8
Ansh Gupta,5.0
Sabeeka Imam,5.2
Vishwa Bhanu,9.3
Suman Ranganath,4.5
Shammi Kapoor,6.722021276595745
Ashish Bisht,4.3
Rahul Bagga,5.283333333333333
Nitin Anand,4.3
Felicity Mason,7.0
Shubham Chintamani,6.8
Madhoo,5.344444444444445
Vivek Sharma,6.3
Sherrin Varghese,4.6
Latif Faiziyev,6.1
Bhavana,5.6
Aziz Naser,6.6
Simran,5.933333333333333
Hercules,6.9
Rajiv Kapoor,5.45
Abhilash Narain,5.0
Ronobir Lahiri,6.6
Mikhail Gandhi,8.6
Hina Khan,4.55
Adesh Prasad,8.3
Abhishek Bachchan,5.70625
Kev Clinsc,5.3
